City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,28.1,78,94,2.94,YE,1713323223
1,waitangi,-43.9535,-176.5597,14.9,82,100,2.68,NZ,1713323477
2,colonia,50.9333,6.95,5.97,90,75,4.12,DE,1713323223
3,broome,42.2506,-75.833,8.32,74,15,1.14,US,1713323223
4,port-aux-francais,-49.35,70.2167,3.47,76,96,13.95,TF,1713323477
5,west island,-12.1568,96.8225,29.99,79,75,4.12,CC,1713323224
6,severo-yeniseyskiy,60.3725,93.0408,-4.12,73,13,1.79,RU,1713323478
7,tiksi,71.6872,128.8694,-1.77,92,100,3.04,RU,1713323224
8,ola,59.5833,151.2833,-3.25,94,100,6.78,RU,1713323225
9,mogadishu,2.0371,45.3438,28.95,81,60,6.67,SO,1713323225
10,college,64.8569,-147.8028,8.99,32,75,0.0,US,1713323478
11,edinburgh of the seven seas,-37.0676,-12.3116,16.41,76,37,12.82,SH,1713323225
12,portland,45.5234,-122.6762,10.75,58,33,0.89,US,1713323221
13,whitehorse,60.7161,-135.0538,2.9,77,3,1.25,CA,1713323442
14,hasaki,35.7333,140.8333,24.05,76,20,9.83,JP,1713323226
15,hamilton,39.1834,-84.5333,25.35,67,83,0.45,US,1713322888
16,ushuaia,-54.8,-68.3,9.81,76,40,6.17,AR,1713323226
17,bikenibeu village,1.3673,173.1241,29.98,74,20,2.57,KI,1713323226
18,isafjordur,66.0755,-23.124,-4.67,84,81,0.93,IS,1713323226
19,touros,-5.1989,-35.4608,25.15,88,100,4.04,BR,1713323479
20,bredasdorp,-34.5322,20.0403,17.64,77,0,1.57,ZA,1713323227
21,almodovar,37.4959,-8.0937,16.93,73,84,1.07,PT,1713323480
22,nyagan,62.1406,65.3936,4.17,97,100,2.26,RU,1713323480
23,tazacorte,28.629,-17.9293,20.54,30,0,1.03,ES,1713323227
24,adamstown,-25.066,-130.1015,22.23,72,1,11.06,PN,1713323480
25,magadan,59.5667,150.8,-3.59,94,100,5.6,RU,1713323480
26,yellowknife,62.456,-114.3525,-3.66,79,8,2.68,CA,1713323228
27,lebu,-37.6167,-73.65,13.73,98,100,2.2,CL,1713323481
28,naze,28.3667,129.4833,22.45,85,100,2.33,JP,1713323481
29,kodiak,57.79,-152.4072,3.73,87,100,12.86,US,1713323228
30,thunder bay,48.4001,-89.3168,5.62,64,100,7.43,CA,1713323481
31,urzhar,47.093,81.6294,13.32,76,100,1.24,KZ,1713323481
32,nchelenge,-9.3451,28.734,19.25,91,68,2.63,ZM,1713323482
33,yima,34.7381,111.8839,21.6,42,42,1.49,CN,1713323229
34,bethel,41.3712,-73.414,12.36,53,0,0.45,US,1713323482
35,invercargill,-46.4,168.35,15.01,69,64,5.36,NZ,1713323225
36,gadzhiyevo,69.2551,33.3362,-6.31,80,100,3.33,RU,1713323229
37,grytviken,-54.2811,-36.5092,4.89,80,17,4.18,GS,1713323230
38,georgetown,5.4112,100.3354,30.53,89,40,1.03,MY,1713323412
39,blackmans bay,-43.0167,147.3167,16.52,54,0,1.34,AU,1713323483
40,kismayo,-0.3582,42.5454,27.26,84,25,5.58,SO,1713323230
41,new norfolk,-42.7826,147.0587,17.73,42,0,1.64,AU,1713323230
42,newman,37.3138,-121.0208,19.58,73,42,1.79,US,1713323483
43,ciudad general teran,25.2667,-99.6833,27.28,58,99,2.59,MX,1713323231
44,wailua homesteads,22.0669,-159.378,26.24,72,75,3.58,US,1713323483
45,dahab,28.501,34.5134,24.08,45,0,0.23,EG,1713323483
46,ribeira grande,38.5167,-28.7,17.1,92,50,5.81,PT,1713323484
47,rabaul,-4.1967,152.1721,29.09,72,55,3.37,PG,1713323484
48,puerto ayacucho,5.6639,-67.6236,26.65,81,100,2.34,VE,1713323231
49,kapa'a,22.0752,-159.319,26.99,72,75,3.58,US,1713323232
50,mani,4.8172,-72.2886,32.58,35,100,1.76,CO,1713323484
51,vorgashor,67.5833,63.95,-11.78,95,100,7.62,RU,1713323232
52,taoudenni,22.6783,-3.9836,26.09,15,0,3.7,ML,1713323232
53,kourou,5.1552,-52.6478,27.03,91,98,3.64,GF,1713323485
54,howrah,22.5892,88.3103,33.0,62,20,3.6,IN,1713323233
55,qaqortoq,60.7167,-46.0333,-0.44,93,100,2.5,GL,1713323485
56,ilulissat,69.2167,-51.1,-11.99,79,10,1.54,GL,1713323233
57,guatrache,-37.6678,-63.5302,16.4,51,23,9.72,AR,1713323485
58,punta arenas,-53.15,-70.9167,10.06,71,75,7.2,CL,1713323233
59,bopolu,7.0667,-10.4875,26.01,85,97,0.65,LR,1713323233
60,kingston,17.997,-76.7936,28.53,74,20,2.06,JM,1713323292
61,kaa-khem,51.6833,94.7333,6.89,58,96,2.16,RU,1713323486
62,iqaluit,63.7506,-68.5145,-14.61,71,6,7.15,CA,1713323486
63,kununurra,-15.7667,128.7333,33.99,38,100,5.66,AU,1713323234
64,al bawiti,28.3492,28.8659,20.8,25,0,2.73,EG,1713323486
65,puerto natales,-51.7236,-72.4875,7.62,91,74,2.45,CL,1713323486
66,paka,4.6374,103.4368,30.5,61,100,1.29,MY,1713323487
67,swakopmund,-22.6833,14.5333,15.12,82,1,4.17,NA,1713323235
68,biltine,14.5333,20.9167,28.25,11,6,3.49,TD,1713323236
69,holualoa,19.6228,-155.9522,24.91,79,0,4.12,US,1713323236
70,sao joao da barra,-21.6403,-41.0511,25.08,80,80,4.96,BR,1713323236
71,greymouth,-42.4667,171.2,14.17,64,57,4.55,NZ,1713323236
72,jiuquan,39.7432,98.5174,17.96,15,98,3.69,CN,1713323487
73,anadyr,64.75,177.4833,-16.72,64,0,4.0,RU,1713323488
74,codrington,-38.2667,141.9667,16.7,60,99,4.87,AU,1713323488
75,hermanus,-34.4187,19.2345,17.62,80,0,1.16,ZA,1713323237
76,udachny,66.4167,112.4,-11.42,76,9,7.54,RU,1713323237
77,palangkaraya,-2.2,113.8333,32.57,60,85,1.23,ID,1713323488
78,antalaha,-14.9003,50.2788,24.61,90,29,4.45,MG,1713323238
79,la passe,45.5549,-0.8967,9.43,84,92,4.61,FR,1713323489
80,kamaishi,39.2667,141.8833,16.36,72,100,2.29,JP,1713323489
81,labrador city,52.9463,-66.9114,-4.06,84,89,3.05,CA,1713323489
82,sitka,57.0531,-135.33,9.94,57,0,1.54,US,1713323336
83,calderitas,18.55,-88.25,26.01,73,61,4.9,MX,1713323489
84,sandnessjoen,66.0217,12.6316,-4.71,68,9,3.28,NO,1713323239
85,betio village,1.358,172.9211,30.02,75,29,3.44,KI,1713323490
86,nuuk,64.1835,-51.7216,0.34,100,100,1.54,GL,1713323490
87,emerald,-23.5333,148.1667,30.19,40,0,5.61,AU,1713323239
88,saint-philippe,-21.3585,55.7679,23.77,69,84,5.84,RE,1713323239
89,ad dawadimi,24.5077,44.3924,13.64,50,2,3.6,SA,1713323239
90,rio grande,-32.035,-52.0986,18.34,88,6,5.96,BR,1713323240
91,mtambile,-5.3833,39.7,25.72,86,100,8.41,TZ,1713323490
92,chibougamau,49.9168,-74.3659,-4.17,96,86,2.39,CA,1713323491
93,newnham,-41.3833,147.1333,17.53,55,100,2.06,AU,1713323491
94,santa cruz,-17.8,-63.1667,18.19,77,100,4.64,BO,1713323491
95,taltal,-25.4,-70.4833,21.5,54,0,1.59,CL,1713323491
96,bilibino,68.0546,166.4372,-8.43,74,99,2.01,RU,1713323396
97,margaret river,-33.95,115.0667,25.79,42,0,0.78,AU,1713323241
98,dudinka,69.4058,86.1778,-9.66,89,100,3.66,RU,1713323492
99,dayr hafir,36.1569,37.7078,18.83,46,91,1.66,SY,1713323492
100,as salamiyah,35.0113,37.0532,17.08,54,6,1.28,SY,1713323492
101,sorong,-0.8833,131.25,27.33,84,100,3.3,ID,1713323242
102,jiayuguan,39.8167,98.3,16.69,16,98,3.43,CN,1713323492
103,yuzhno-kurilsk,44.0306,145.8556,7.43,95,75,2.99,RU,1713323492
104,psebay,44.1234,40.8107,11.04,39,69,3.21,RU,1713323242
105,shubarkuduk,49.1447,56.4872,13.92,71,94,6.38,KZ,1713323493
106,jamestown,42.097,-79.2353,11.8,46,0,2.57,US,1713323243
107,ta`u,-14.2336,-169.5144,29.35,77,19,6.21,AS,1713323493
108,cartagena del chaira,1.3349,-74.8429,25.38,81,85,1.16,CO,1713323493
109,aasiaat,68.7098,-52.8699,-16.88,94,74,2.98,GL,1713323243
110,enriquillo,17.9,-71.2333,25.09,79,54,1.96,DO,1713323493
111,rock springs,41.5875,-109.2029,10.58,43,0,7.72,US,1713323211
112,luderitz,-26.6481,15.1594,14.79,79,0,3.04,NA,1713323494
113,sao gabriel da cachoeira,-0.1303,-67.0892,24.69,98,100,0.62,BR,1713323494
114,talnakh,69.4865,88.3972,-9.89,94,100,3.35,RU,1713323244
115,vanimo,-2.6741,141.3028,29.1,79,93,1.68,PG,1713323494
116,stanley,54.868,-1.6985,2.62,84,0,4.63,GB,1713323244
117,okhotsk,59.3833,143.3,-0.87,94,95,0.78,RU,1713323494
118,ust'-ilimsk,58.0006,102.6619,-1.42,61,77,3.13,RU,1713323245
119,lompoc,34.6391,-120.4579,16.58,88,0,4.12,US,1713323495
120,carutapera,-1.195,-46.02,25.27,95,100,1.7,BR,1713323495
